Tag,Description,Status,Type,System,Responsible,Dimensions,Weight,Voltage,Current,Frequency,IP_Rating
E-80001,High Voltage Switchgear,Active,ACS,80,Company X,1200x3000x2400 mm,2000 kg,145 kV,2000 A,50 Hz,IP54
E-80002,Transformer T1,Operational,TFC,80,Company Y,2500x4000x3100 mm,10500 kg,145 kV,1250 A,50 Hz,IP55
E-80003,Generator G1,Maintenance,GTR,80,Company X,3100x5500x4500 mm,19000 kg,13.8 kV,2100 A,60 Hz,IP23
E-80004,Generator G2,Active,GTR,80,Company X,3200x5600x4600 mm,19500 kg,13.8 kV,2200 A,60 Hz,IP23
E-80005,Power Distribution Unit PDU1,Operational,PDU,80,Company Y,1600x2200x2000 mm,800 kg,400 V,1200 A,50 Hz,IP44
E-80006,UPS Unit 1,Operational,UPS,80,Company X,600x800x1500 mm,300 kg,240 V,750 A,60 Hz,IP20
E-80007,High Voltage Cable HV1,Operational,CBL,80,Company Z,NA,5000 kg/km,145 kV,NA,50 Hz,NA
E-80008,Diesel Generator DG1,Active,DG,80,Company X,3300x7000x4000 mm,22000 kg,415 V,1500 A,50 Hz,IP23
E-80009,Power Management System,Operational,PMS,80,Company Y,NA,NA,NA,NA,NA,IP00
E-80101,Main Switchboard MSB1,Scheduled for overhaul,MSB,80,Company X,6000x3000x2100 mm,12000 kg,400 V,3000 A,50 Hz,IP22
E-82001,Low Voltage Switchgear LV1,Active,LVS,82,Company Y,1100x2500x2000 mm,1500 kg,400 V,1000 A,50 Hz,IP54
E-82002,Auxiliary Transformer T2,Operational,ATF,82,Company Z,1500x2500x2200 mm,6000 kg,6.6 kV,800 A,60 Hz,IP55
E-82003,Frequency Converter FC1,Operational,FRC,82,Company X,600x800x1500 mm,100 kg,240/400 V,150 A,0-60 Hz,IP21
E-82004,Motor Control Center MCC1,Active,MCC,82,Company X,5000x2200x2400 mm,2500 kg,400 V,2500 A,50 Hz,IP54
E-82005,Soft Starter Panel SSP1,Active,SSP,82,Company Y,1200x2000x1800 mm,500 kg,400 V,800 A,50 Hz,IP54
E-82006,Lighting Panel LP1,Operational,LPA,82,Company Z,800x1200x1800 mm,200 kg,240 V,150 A,50 Hz,IP65
E-82007,Low Voltage Cable LVC1,Active,CBL,82,NA,NA,3000 kg/km,0.6 kV,NA,50 Hz,NA
E-82008,Variable Speed Drive VSD1,Scheduled for upgrade,VSD,82,Company X,700x1500x1800 mm,350 kg,400 V,600 A,Variable,IP21
E-85001,Fire Water Pump P1,Operational,PMP,85,Company Y,1800x2800x1500 mm,1200 kg,NA,NA,NA,NA
E-85002,Fire Water Jockey Pump JP1,Active,JPMP,85,Company X,800x1200x800 mm,250 kg,NA,NA,NA,NA
E-85003,Fire Detection System FDS1,Operational,FDS,85,Company Z,NA,NA,24 V,NA,NA,IP20
E-85004,Fire & Gas Panel FGP1,Operational,FGP,85,Company Y,600x800x1500 mm,100 kg,NA,NA,NA,NA
E-85005,Portable Fire Extinguisher FXT1,Active,FXT,85,Company X,NA,10 kg,NA,NA,NA,NA
E-85006,Gas Detection System GDS1,Operational,GDS,85,Company Z,NA,NA,24 V,NA,NA,IP20
E-85007,Deluge Valve DV1,Scheduled for maintenance,DV,85,Company Y,500x800x500 mm,150 kg,NA,NA,NA,NA
E-85008,Fire Hose Reel FHR1,Active,FHR,85,Company Z,400x600x200 mm,30 kg,NA,NA,NA,NA
E-89001,Demineralized Water System DWS1,Active,DWS,89,Company X,1800x2800x2000 mm,1000 kg,NA,NA,NA,NA
E-89002,Nitrogen Generation Plant NGP1,Operational,NGP,89,Company Y,2400x4000x3200 mm,3800 kg,230 V,100 A,50 Hz,IP54
E-89003,Oily Water Separator OWS1,Operational,OWS,89,Company Z,2000x1800x1500 mm,750 kg,NA,NA,NA,NA
E-89004,Chemical Injection Skid CIS1,Active,CIS,89,Company X,1500x1500x1800 mm,600 kg,220 V,10 A,50 Hz,IP65
E-89005,Bilge Water Separator BWS1,Operational,BWS,89,Company Z,1600x2400x1800 mm,700 kg,NA,NA,NA,NA
E-89006,Flare Ignition System FIS1,Operational,FIS,89,Company Y,800x800x1200 mm,120 kg,240 V,5 A,60 Hz,IP66
E-89007,Drilling Mud Treatment Plant DMTP1,Active,DMTP,89,Company X,3200x5000x3400 mm,8500 kg,NA,NA,NA,NA
E-89008,Produced Water Treatment PWT1,Operational,PWT,89,Company Y,2800x4600x2500 mm,6200 kg,NA,NA,NA,NA
E-89009,Waste Compactor WC1,Operational,WC,89,Company Z,1000x1200x1800 mm,500 kg,400 V,15 A,50 Hz,IP55
HV-80001,High Voltage Transformer,Operational,Power Transformer,80,Company X,3500x2500x3000 mm,5000 kg,145 kV,1500 A,50 Hz,IP55
HV-80002,Generator Circuit Breaker,Active,Circuit Breaker,80,Company X,1500x1500x2500 mm,1000 kg,145 kV,800 A,50 Hz,IP54
HV-80003,Main Isolation Switch,Operational,Disconnector Switch,80,Company X,1000x2000x1500 mm,500 kg,145 kV,2000 A,50 Hz,IP54
HV-80004,Step-down Transformer,Maintenance,Potential Transformer,80,Company X,2000x1500x2000 mm,1600 kg,33 kV,1200 A,50 Hz,IP55
LV-81001,Low Voltage Distribution Board,Operational,Switchboard,81,Company X,2000x600x2000 mm,800 kg,400 V,2500 A,50 Hz,IP54
LV-81002,Uninterruptible Power Supply,Operational,UPS,81,Company X,1600x800x1800 mm,450 kg,400 V,100 A,50 Hz,IP20
LV-81003,AC Motor Starter Panel,Operational,Motor Control Center,81,Company X,2400x600x2200 mm,1000 kg,400 V,350 A,50 Hz,IP54
LV-81004,Power Factor Correction Unit,Operational,Capacitor Bank,81,Company X,1800x600x1800 mm,600 kg,400 V,200 A,50 Hz,IP54
DR-82001,Drilling Motor,Active,AC Motor,82,Company X,800x300x400 mm,350 kg,690 V,500 A,60 Hz,IP56
DR-82002,Mud Pump Motor,Active,AC Motor,82,Company X,1200x500x600 mm,750 kg,690 V,800 A,60 Hz,IP56
DR-82003,Top Drive,Active,Top Drive System,82,Company X,2500x1500x2500 mm,4500 kg,690 V,1000 A,60 Hz,IP56
DR-82004,Drawworks,Active,Drawworks,82,Company X,4000x3000x2500 mm,12000 kg,690 V,2000 A,60 Hz,IP56
PR-83001,Centrifugal Compressor,Maintenance,Centrifugal Compressor,83,Company X,3000x2500x2000 mm,7000 kg,NA,NA,NA,IP55
PR-83002,Gas Turbine,Operational,Gas Turbine,83,Company X,5000x4500x3500 mm,12000 kg,NA,NA,NA,IP55
PR-83003,Process Heater,Troubleshooting,Heater,83,Company X,2000x1500x2000 mm,2500 kg,NA,NA,NA,IP55
PR-83004,Pressure Vessel,Operational,Pressure Vessel,83,Company X,3500x3500x5000 mm,8000 kg,NA,NA,NA,IP55
SA-84001,Fire Water Pump,Active,Fire Fighting Equipment,84,Company X,1500x1000x1500 mm,1200 kg,NA,NA,NA,IP56
SA-84002,Gas Detection System,Operational,Gas Detector,84,Company X,500x500x200 mm,15 kg,24 VDC,100 mA,NA,IP66
SA-84003,Emergency Generator,Operational,Diesel Generator,84,Company X,3500x1500x2500 mm,3500 kg,480 V,60 Hz,60 Hz,IP56
SA-84004,Lifeboat,Troubleshooting,Safety Lifeboat,84,Company X,6000x2500x3000 mm,4200 kg,NA,NA,NA,IP67
NA-85001,Navigation Radar,Active,Radar System,85,Company X,500x500x1000 mm,50 kg,240 VAC,0.5 A,60 Hz,IP56
NA-85002,GMDSS Radio,Maintenance,Global Maritime Distress and Safety System,85,Company X,400x300x200 mm,8 kg,24 VDC,0.3 A,NA,IP65
NA-85003,Differential GPS,Operational,Satellite Navigation System,85,Company X,300x200x100 mm,1.5 kg,12 VDC,0.75 A,NA,IP65
NA-85004,Gyro Compass,Operational,Gyro Compass,85,Company X,500x500x500 mm,20 kg,24 VDC,2 A,NA,IP65
FA-86001,Flare Ignition System,Active,Ignition System,86,Company X,1500x800x1200 mm,200 kg,110 VAC,10 A,60 Hz,IP66
FA-86002,Vapor Recovery Unit,Troubleshooting,Vapor Recovery,86,Company X,2500x2000x2500 mm,3200 kg,NA,NA,NA,IP55
FA-86003,Fuel Gas Skid,Operational,Fuel Gas Treatment,86,Company X,3000x1500x1500 mm,2500 kg,NA,NA,NA,IP55
FA-86004,Gas Flare Stack,Operational,Flare Stack,86,Company X,500 mm Diameterx30000 mm,8000 kg,NA,NA,NA,IP55
DS-87001,Drill String Component,Active,Drilling Equipment,87,Company X,8000x300x300 mm,1500 kg,NA,NA,NA,IP65
DS-87002,Drilling Jar,Maintenance,Drilling Tools,87,Company X,3000x250x250 mm,300 kg,NA,NA,NA,IP65
DS-87003,Reamer,Maintenance,Drilling Tools,87,Company X,1000x200x200 mm,100 kg,NA,NA,NA,IP65
DS-87004,Drill Bit,Operational,Drilling Bit,87,Company X,500x500x400 mm,250 kg,NA,NA,NA,IP65
CO-88001,Offshore Crane,Operational,Crane,88,Company X,6000x2400x7000 mm,22000 kg,NA,NA,NA,IP55
CO-88002,Helicopter Deck Lighting,Active,Aviation Lighting,88,Company X,300x300x150 mm,5 kg,240 VAC,0.2 A,50 Hz,IP66
CO-88003,Lifting Gear,Troubleshooting,Lifting Equipment,88,Company X,Variable,Variable,NA,NA,NA,IP65
CO-88004,Floodlight Tower,Operational,Illumination System,88,Company X,500 mm Diameterx12000 mm,1500 kg,240 VAC,5 A,50 Hz,IP66
ND-89001,Bilge Water Separator,Operational,Water Treatment,89,Company X,2000x1000x1500 mm,600 kg,NA,NA,NA,IP55
ND-89002,Freshwater Maker,Troubleshooting,Water Production,89,Company X,1500x750x1200 mm,500 kg,NA,NA,NA,IP54
ND-89003,Laboratory Equipment,Maintenance,Testing Equipment,89,Company X,Variable,Variable,NA,NA,NA,IP50
ND-89004,Workshop Machinery,Operational,Machine Tools,89,Company X,Variable,Variable,NA,NA,NA,IP50
E-80001,High Voltage Switchgear,Active,Switchgear,80,Company X,2200x3500x2600 mm,3150 kg,145 kV,3150 A,60 Hz,IP54
E-80002,Diesel Generator Set,Operational,Generator,80,Area Y,4000x2000x2200 mm,8500 kg,15 kV,300 A,60 Hz,IP55
E-80003,Transformer,Active,Transformer,80,Company X,3500x2500x3000 mm,10000 kg,230 kV,500 A,50 Hz,IP54
E-80004,Gas Turbine Generator,Operational,Turbine,80,Area Z,5500x4600x3200 mm,12000 kg,13.8 kV,200 A,50 Hz,IP55
E-81001,Power Distribution Panel,Active,Panelboard,81,Company X,800x600x2200 mm,380 kg,0.4 kV,800 A,50 Hz,IP52
E-81002,Junction Box,Maintenance Required,Junction Box,81,Area Y,200x300x150 mm,5 kg,400 V,100 A,60 Hz,IP55
E-81003,Circuit Breaker Panel,Scheduled for Inspection,Panelboard,81,Company A,600x2100x600 mm,150 kg,11 kV,250 A,50 Hz,IP54
E-82001,Battery Charger,Active,Charger,82,Company X,500x400x200 mm,25 kg,230 V,10 A,50 Hz,IP20
E-82002,Uninterruptible Power Supply,Operational,UPS,82,Area Z,600x1000x300 mm,50 kg,220 V,15 A,60 Hz,IP21
E-82003,DC Power Supply Unit,Maintenance Required,DC Power,82,Company B,400x300x150 mm,12 kg,24 V,50 A,DC,IP20
E-83001,Low Voltage Switchgear,Operational,Switchgear,83,Company Y,1800x3200x1600 mm,2500 kg,0.69 kV,4000 A,60 Hz,IP54
E-83002,Soft Starter,Active,Starter,83,Area Y,800x600x400 mm,75 kg,400 V,250 A,50 Hz,IP21
E-83003,Variable Frequency Drive,Operational,VFD,83,Company C,600x500x300 mm,40 kg,400 V,50 A,50 Hz,IP20
E-84001,Emergency Shutdown Panel,Scheduled for Inspection,Control Panel,84,Company X,800x600x2100 mm,320 kg,24 VDC,N/A,DC,IP55
E-84002,Programmable Logic Controller,Operational,PLC,84,Area B,400x300x200 mm,15 kg,24 VDC,N/A,DC,IP20
E-85001,Fire & Gas Detection Panel,Active,Control Panel,85,Company Y,800x600x2200 mm,350 kg,24 VDC,N/A,DC,IP54
E-85002,Pressure Transmitter,Operational,Transmitter,85,Area Z,100x150x130 mm,1.5 kg,24 VDC,4-20 mA,DC,IP67
E-86001,Bilge Water Separator,Active,Separator,86,Company Z,2800x1600x1400 mm,1200 kg,N/A,N/A,N/A,IP55
E-86002,Oil Discharge Monitoring Equipment,Operational,Monitor,86,Area G,800x600x400 mm,55 kg,220 V,2 A,60 Hz,IP66
E-87001,Dosing Pump,Operational,Pump,87,Company A,700x500x300 mm,60 kg,230 V,1.5 A,50 Hz,IP55
E-87002,Chemical Injection Skid,Active,Chemical Skid,87,Area C,3000x2000x1500 mm,2800 kg,N/A,N/A,N/A,IP54
E-88001,Offshore Crane,Scheduled for Maintenance,Crane,88,Company D,20000x6000x7000 mm,64000 kg,N/A,N/A,N/A,IP56
E-88002,Manifold System,Active,Manifold,88,Area H,6000x2300x2000 mm,7500 kg,N/A,N/A,N/A,IP54
E-89001,Flexible Hose,Operational,Hose,89,Company X,15000 mm length x 100 mm dia.,150 kg,N/A,N/A,N/A,IP68
E-89002,Custom Equipment A,Maintenance Required,Specialized,89,Area Y,Varies with design,Varies with design,N/A,N/A,N/A,IP Rating varies
E-80001,High Voltage Switchgear,Active,Switchgear,80,Company X,1200x3000x2400 mm,2000 kg,145 kV,2000 A,50 Hz,IP54
E-80002,Power Transformer T1,Active,Transformer,80,Company X,2500x5000x3000 mm,10000 kg,145 kV,1500 A,50 Hz,IP54
E-80003,Power Transformer T2,Active,Transformer,80,Company X,2500x5000x3000 mm,10000 kg,145 kV,1500 A,50 Hz,IP54
E-80004,High Voltage Circuit Breaker,Active,Circuit Breaker,80,Company X,1500x2500x2000 mm,3000 kg,145 kV,2000 A,50 Hz,IP54
E-80005,Main Power Distribution Panel,Active,Distribution Panel,80,Company X,2000x3000x600 mm,1800 kg,145 kV,2000 A,50 Hz,IP56
E-80006,Main Power Generation Unit,Active,Generation Unit,80,Company X,4000x10000x3000 mm,20000 kg,145 kV,2000 A,50 Hz,IP55
E-80007,Backup Power Generator,Active,Generator,80,Company X,3000x6000x3000 mm,15000 kg,145 kV,2000 A,50 Hz,IP54
E-80008,High Voltage Surge Arrestor,Active,Surge Arrestor,80,Company X,500x1000x500 mm,120 kg,145 kV,NA,50 Hz,IP54
E-80009,High Voltage Disconnect,Active,Disconnect Switch,80,Company X,1200x2500x1500 mm,700 kg,145 kV,2000 A,50 Hz,IP54
E-80010,High Voltage Jumper,Active,Jumper,80,Company X,NA,NA,145 kV,2000 A,50 Hz,IP54
E-81001,Diesel Generator Set,Active,Generator Set,81,Company X,3500x8000x3500 mm,12000 kg,11 kV,NA,50 Hz,IP23
E-81002,Emergency Power Distribution Panel,Active,Distribution Panel,81,Company X,2000x2500x600 mm,800 kg,11 kV,800 A,50 Hz,IP56
E-81003,UPS System,Active,Uninterruptible Power Supply,81,Company X,1200x2000x1000 mm,500 kg,230 V,500 A,50 Hz,IP22
E-82001,Low Voltage Power Panel,Active,Power Panel,82,Company X,1600x2000x600 mm,500 kg,400 V,800 A,50 Hz,IP55
E-82002,Low Voltage Motor Control Center,Active,Motor Control Center,82,Company X,2000x6000x1800 mm,1800 kg,400 V,1000 A,50 Hz,IP54
E-82003,Low Voltage Circuit Breaker Panel,Active,Circuit Breaker Panel,82,Company X,1600x2500x600 mm,700 kg,400 V,1200 A,50 Hz,IP54
E-82004,Lighting Distribution Panel,Active,Distribution Panel,82,Company X,800x1200x400 mm,200 kg,230 V,400 A,50 Hz,IP54
E-83001,Firewater Pump Motor,Active,Electric Motor,83,Company X,800x1200x800 mm,300 kg,400 V,300 A,50 Hz,IP55
E-83002,Firewater Jockey Pump Motor,Active,Electric Motor,83,Company X,500x800x500 mm,100 kg,400 V,150 A,50 Hz,IP55
E-83003,Firewater Pump Controller,Active,Controller,83,Company X,600x800x300 mm,50 kg,230 V,10 A,50 Hz,IP55
M-84001,HVAC Air Handling Unit,Active,Air Handling Unit,84,Company X,2000x4000x2000 mm,1000 kg,NA,NA,NA,IP44
M-84002,HVAC Chiller Unit,Active,Chiller,84,Company X,2500x8000x2500 mm,5000 kg,NA,NA,NA,IP44
M-84003,Room Air Conditioner,Active,AC Unit,84,Company X,500x1000x500 mm,50 kg,230 V,5 A,50 Hz,IP24
P-85001,Centrifugal Compressor,Active,Compressor,85,Company X,1500x3000x1500 mm,4000 kg,NA,NA,NA,IP54
